2024-01-30 10:04:39.276 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 10:04:39.286 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 10:04:46.731 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 5020 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:04:46.732 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:04:47.795 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 10:04:47.796 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 10:04:47.861 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 10:04:49.755 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.385 seconds (process running for 3.921)
2024-01-30 10:04:50.055 [RMI TCP Connection(5)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 10:04:50.097 [RMI TCP Connection(4)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 10:07:26.562 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 10:07:26.565 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 10:07:32.434 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 25876 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:07:32.435 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:07:33.558 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 10:07:33.558 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 10:07:33.627 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 10:07:35.663 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.623 seconds (process running for 4.071)
2024-01-30 10:07:35.900 [RMI TCP Connection(4)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 10:07:35.939 [RMI TCP Connection(3)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 10:07:52.524 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 10:07:52.527 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 10:08:07.976 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 28952 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:08:07.979 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:09:20.768 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 23436 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:09:20.769 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:09:21.739 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 10:09:21.739 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 10:09:21.799 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 10:09:23.863 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.445 seconds (process running for 3.883)
2024-01-30 10:09:24.384 [RMI TCP Connection(3)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 10:09:24.431 [RMI TCP Connection(4)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 10:09:30.819 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 10:09:30.823 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 10:09:32.364 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 22632 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:09:32.365 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:09:33.319 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 10:09:33.320 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 10:09:33.381 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 10:09:35.352 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.337 seconds (process running for 3.79)
2024-01-30 10:09:35.825 [RMI TCP Connection(3)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 10:09:35.887 [RMI TCP Connection(2)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 10:10:04.956 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 10:10:04.960 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 10:10:06.476 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 28276 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:10:06.477 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:10:07.410 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 10:10:07.410 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 10:10:07.474 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 10:10:09.402 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.269 seconds (process running for 3.693)
2024-01-30 10:10:09.935 [RMI TCP Connection(1)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 10:10:09.977 [RMI TCP Connection(2)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-01-30 10:16:49.314 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-01-30 10:16:49.317 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-01-30 10:16:50.951 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 2732 (C:\Users\11583\Desktop\ticket-project\target\classes started by 11583 in C:\Users\11583\Desktop\ticket-project)
2024-01-30 10:16:50.952 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-30 10:16:51.898 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-30 10:16:51.899 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-01-30 10:16:51.961 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-30 10:16:53.960 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.357 seconds (process running for 3.804)
2024-01-30 10:16:54.481 [RMI TCP Connection(4)-192.168.1.5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 10:16:54.522 [RMI TCP Connection(3)-192.168.1.5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
